material  lattice_constant  bul_modulus  band_gap  rS_A rP_A rS_B rP_B Z_A Z_B HOMO_A LUMO_A EA_A IP_A HOMO_B LUMO_B EA_B IP_B c_A 
LiRhO3  3.80777702  1.10905112874  0.00136903  1.68680 2.09990 1.51700 2.24450 3 45 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.324078823778 -2.720936056224 -0.649048902331 9.152288883026 1.00
LiPdO3  3.88078802  0.791019619595  0.01224064  1.68680 2.09990 1.48560 2.29200 3 46 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -5.018246293882 -2.610572297189 -0.200021161260 10.166984187162 1.00
LiAgO3  3.96964595  0.673506193023  0.00925570  1.68680 2.09990 1.35140 1.94410 3 47 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.216907058393 -4.216907203152 -1.521159375706 7.251049684650 1.00
LiCdO3  4.08506516  0.513087257444  0.05028094  1.68680 2.09990 1.24890 1.89950 3 48 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -6.023736420579 -0.948499811712 1.046403819836 9.367805294123 1.00
LiSnO3  4.02669195  0.858961985027  0.01010084  1.68680 2.09990 1.07110 1.37380 3 50 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.693967270914 -3.693967397722 -1.084211366527 6.773509406815 1.00
LiSbO3  3.90728111  1.02701524316  1.04550021  1.68680 2.09990 1.00720 1.25160 3 51 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.963183376254 -4.963183546631 -1.964510398835 8.359173003941 1.00
LiTaO3  3.92649555  1.29698529686  3.81575610  1.68680 2.09990 1.47300 2.08400 3 73 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.410813983109 -3.410814100196 -0.207862642233 7.364063701622 1.00
LiWO3  3.85839397  1.41733772956  0.02894519  1.68680 2.09990 1.41610 2.11260 3 74 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.437043328913 -4.437043481229 -0.922676234942 8.672459941188 1.00
LiPtO3  3.87923347  0.913943504857  0.00512285  1.68680 2.09990 1.33610 1.80090 3 78 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -5.316148581053 -4.051110054601 -1.310324277513 10.114267892650 1.00
LiPbO3  4.21236483  0.546268093419  0.03106036  1.68680 2.09990 1.04520 1.42350 3 82 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.503690269109 -3.503690389384 -0.958997386626 6.476888103509 1.00
LiBiO3  4.13789387  0.720729372006  0.04330315  1.68680 2.09990 0.99410 1.31290 3 83 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.706546707306 -4.706546868874 -1.846753393810 7.964551439414 1.00
NaAlO3  3.70841622  0.857687422448  0.04731714  1.79480 2.70420 1.10410 1.43130 11 13 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -2.547095300306 -2.547095387743 -0.308077870308 5.449666311380 1.00
NaTiO3  3.84537756  1.02082601457  0.04697758  1.79480 2.70420 1.54120 2.08940 11 22 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.667603032050 -3.667603157952 -0.021725201808 7.552223574011 1.00
NaVO3  3.71039972  1.23566382429  0.91004575  1.79480 2.70420 1.45970 2.04700 11 23 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.798406943350 -4.798407108071 -0.664676976192 7.407416209273 1.00
NaCrO3  3.65182790  1.27402438885  0.01558200  1.79480 2.70420 1.42470 2.01210 11 24 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.733548486143 -4.733548648638 -1.259830231993 6.979022153017 1.00
NaMnO3  3.62160659  1.2572944265  0.00162016  1.79480 2.70420 0.41350 2.18240 11 25 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.333466263373 -0.671345464134 -1.423902065558 6.884430469844 1.00
NaFeO3  3.62919146  1.16650614446  0.00620132  1.79480 2.70420 1.39120 2.20810 11 26 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.836619504771 -3.836619636475 -1.415506591628 7.089031766055 1.00
NaCoO3  3.65684695  0.967673850963  0.00146745  1.79480 2.70420 1.38110 1.65750 11 27 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.347469515837 -3.347469630750 -1.133799031088 7.525127748251 1.00
NaNiO3  3.69932422  0.937927459525  0.02597247  1.79480 2.70420 1.37820 1.61770 11 28 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -2.919817594254 -2.919817694486 -0.680064535054 8.128919800973 1.00
NaCuO3  3.73285814  0.819626733001  0.01313707  1.79480 2.70420 1.23610 2.20480 11 29 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.362985932102 -4.362986081876 -1.554935144418 7.534909454159 1.00
NaZnO3  3.82430258  0.662618207766  0.02703332  1.79480 2.70420 1.11690 1.78990 11 30 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -6.384766005031 -0.880351142307 1.016686332121 9.995763731659 1.00
NaGaO3  3.84750275  0.777494351438  0.01633940  1.79480 2.70420 1.00870 1.37830 11 31 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -2.447267344605 -2.447267428616 -0.221448418066 5.403241923784 1.00
NaGeO3  3.72628737  1.03923146528  0.02027444  1.79480 2.70420 0.92390 1.18940 11 32 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.864142063585 -3.864142196235 -0.978668998444 7.285215454342 1.00
NaZrO3  4.12758668  0.884234436378  0.02554245  1.79480 2.70420 1.67180 2.26450 11 40 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.230129340890 -3.230129451775 -0.047328544585 7.150603804508 1.00
NaNbO3  3.94328709  1.21498430892  2.98538475  1.79480 2.70420 1.58200 2.11090 11 41 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.395561840699 -4.395561991591 -0.969575749518 7.291456922287 1.00
NaMoO3  3.86167011  1.30739363103  0.02261004  1.79480 2.70420 1.55920 2.24600 11 42 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.405289070280 -4.405289221506 -1.713307224028 6.693232569522 1.00
NaTcO3  3.81223916  1.32554219735  0.00305013  1.79480 2.70420 1.58880 2.13150 11 43 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.015504540133 -3.015504643650 -1.275831727848 7.207933304014 1.00
NaRuO3  3.81413432  0.991626889445  0.00790723  1.79480 2.70420 1.55180 2.19700 11 44 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.663439802229 -2.821777985343 -0.586474863883 8.167782092633 1.00
NaRhO3  3.83196730  1.08026602845  0.00255434  1.79480 2.70420 1.51700 2.24450 11 45 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.324078823778 -2.720936056224 -0.649048902331 9.152288883026 1.00
NaPdO3  3.90842951  0.839157838368  0.01268308  1.79480 2.70420 1.48560 2.29200 11 46 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -5.018246293882 -2.610572297189 -0.200021161260 10.166984187162 1.00
NaAgO3  3.99834376  0.685706525127  0.01545846  1.79480 2.70420 1.35140 1.94410 11 47 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.216907058393 -4.216907203152 -1.521159375706 7.251049684650 1.00
NaCdO3  4.11465437  0.498801134221  0.02189622  1.79480 2.70420 1.24890 1.89950 11 48 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -6.023736420579 -0.948499811712 1.046403819836 9.367805294123 1.00
NaSnO3  4.04796418  0.841389349822  0.00813737  1.79480 2.70420 1.07110 1.37380 11 50 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.693967270914 -3.693967397722 -1.084211366527 6.773509406815 1.00
NaSbO3  3.93079904  0.99423012161  0.74108885  1.79480 2.70420 1.00720 1.25160 11 51 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.963183376254 -4.963183546631 -1.964510398835 8.359173003941 1.00
NaTaO3  3.94366551  1.28324900799  3.75326982  1.79480 2.70420 1.47300 2.08400 11 73 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.410813983109 -3.410814100196 -0.207862642233 7.364063701622 1.00
NaWO3  3.87560235  1.39977499939  0.01514018  1.79480 2.70420 1.41610 2.11260 11 74 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.437043328913 -4.437043481229 -0.922676234942 8.672459941188 1.00
NaPtO3  3.91249523  0.636010634346  0.00280349  1.79480 2.70420 1.33610 1.80090 11 78 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -5.316148581053 -4.051110054601 -1.310324277513 10.114267892650 1.00
